"","Activated_B_cell","Activated_CD4_T_cell","Activated_CD8_T_cell","Central_memory_CD4_T_cell","Central_memory_CD8_T_cell","Effector_memory_CD4_T_cell","Effector_memory_CD8_T_cell","Regulatory_T_cell","T_follicular_helper_cell","Type_1_T_helper_cell","Type_2_T_helper_cell","Type_17_T_helper_cell","Activated_dendritic_cell","Immature_dendritic_cell","Plasmacytoid_dendritic_cell","Macrophage","M1_Macrophage","M2_Macrophage","Monocyte","Natural_killer_cell","Neutrophil","Mast_cell","Eosinophil","MDSC","Natural_killer_T_cell"
"SOCS2",0.312740503434707,0.469912549191378,0.301695097015886,0.456152556034439,0.3241937913093,0.429631162376748,0.342727125006253,0.15352339856748,0.240631599904309,0.228697614250759,0.362693140191757,0.408586990591956,0.140466585786643,0.382869236349902,-0.043366036235333,0.526180712709904,0.362863710867928,0.609492767011457,0.657898172623777,0.442468153916313,0.328582095121275,0.163360755738466,0.40540686746809,0.448539376212873,0.282550593986777
"HPX",0.326307673677719,0.493823279867425,0.295434703833291,0.435772398300139,0.280646182179426,0.425595974606622,0.316743393923786,0.14245198181151,0.233593379449291,0.176078209350197,0.36652787614224,0.560251189652142,0.0141034831231083,0.38656141354052,-0.264370087666801,0.596942341994241,0.336225791711618,0.765736648714379,0.729960303349626,0.451426343961352,0.338295842866929,0.119572510264748,0.533951255193993,0.592734742534719,0.249249272967922
"EMC2",-0.410599793004144,-0.530482695331393,-0.26996805557776,-0.365912615728559,-0.275072589208996,-0.316199162341094,-0.258417401384554,-0.371494787564534,-0.269454775371089,-0.391382768191972,-0.59726710343899,-0.428313402048118,-0.14268090543042,-0.386114446127097,0.21366267490762,-0.233308924733633,-0.378332806895443,-0.34640258799103,-0.399367988389334,-0.30199684920366,-0.290591979603992,-0.252759866334182,-0.45355994069356,-0.384231621935059,-0.122199493516785
"PHGDH",0.262546353834377,0.447001627146276,0.185240730313802,0.340336522816121,0.18939551961604,0.355428538668499,0.235636809232636,0.132982236847361,0.15279204848045,0.113931562794438,0.245034132783686,0.377223381619518,0.0708103737376705,0.351404359228157,-0.239911004175856,0.305543386622822,0.260793610951117,0.474612879166605,0.432759648592294,0.283157464059147,0.279992049979528,0.0893076454811684,0.309586434796095,0.421730811347694,0.17598018460379
"SCP2",0.164533180597169,0.418462402347943,0.162434697563183,0.274047731888222,0.133973946667687,0.338685135903104,0.228089848241006,0.139578347974079,0.229561918589728,0.121656528551754,0.267858494900668,0.493519398500177,-0.0712383929081439,0.260588970790731,-0.363195103508421,0.450903214499571,0.206545324038321,0.651872039596081,0.555850719403198,0.343932377211862,0.22720408318829,-0.00162683891336371,0.42336633608089,0.575202528453773,0.0948524710904241
"ACACA",-0.293081053013976,-0.520646642348124,-0.341244280774809,-0.497680479117474,-0.39372126811815,-0.482285407770903,-0.408282370205465,-0.230206072792697,-0.233716831973822,-0.284814095332171,-0.436268180574556,-0.367034819341617,-0.192708651257228,-0.441783164794303,0.0331373688167827,-0.541503188960381,-0.447553379127766,-0.557503905388739,-0.633318319805958,-0.548522131699607,-0.392081184983382,-0.268835576856218,-0.435573442572875,-0.415718701207321,-0.366013204067499
"HSPH1",-0.373849312629454,-0.496064841506492,-0.256068414523851,-0.352532893808523,-0.248227034378751,-0.295795657983101,-0.236066455460738,-0.305345175201691,-0.26925740363234,-0.32406528023958,-0.487040000904288,-0.419101444988748,-0.113031399657473,-0.394967725862196,0.134903878931271,-0.285963489589677,-0.356573012154798,-0.385667443738157,-0.462970224478347,-0.328879347118546,-0.251077934977164,-0.257722725050145,-0.479158917340591,-0.369938109253837,-0.163164064091869
"HELLS",-0.259391375095157,-0.408617428740276,-0.281170169309101,-0.337839265398297,-0.227149318217066,-0.326114332571451,-0.253082829552042,-0.136295485840006,-0.268893255260868,-0.129737412160037,-0.406254787479146,-0.507034372502299,-0.0221719910064878,-0.375713326199955,0.14284780499224,-0.486765691965997,-0.330640168034859,-0.572642800163197,-0.591116077192334,-0.399173581686645,-0.245453612950338,-0.105483714726584,-0.433681245733334,-0.490553100262986,-0.187333734080326
"ZC3H13",0.290998498546302,0.488768426706862,0.258456048118427,0.400762420872708,0.275114041459372,0.431513006892892,0.332977083014992,0.207159979220744,0.354390334642858,0.213562053887843,0.319189560372719,0.383313282960762,0.0997990368202244,0.370222304291603,-0.210653625175213,0.424662969666345,0.275109596973877,0.533369374847145,0.585232818653341,0.384423451023541,0.258233638124777,0.121131807742628,0.396388039910089,0.463432154478672,0.201570992017268
"PARP12",-0.189731233768805,-0.435320349757318,-0.0992103839928427,-0.222704928240585,-0.0655734618609229,-0.209169535548216,-0.0986664284476771,-0.228936095373301,-0.176288056824003,-0.138805075545771,-0.320430693966896,-0.49813255176733,0.0633971897007137,-0.320366059103344,0.233859696342862,-0.40328664628641,-0.30913010209611,-0.531801822464688,-0.449141987204653,-0.300789346815733,-0.278779311184941,-0.167027342921045,-0.418334022105876,-0.47547267396331,-0.0355407086271879
