"","Activated_B_cell","Activated_CD4_T_cell","Activated_CD8_T_cell","Central_memory_CD4_T_cell","Central_memory_CD8_T_cell","Effector_memory_CD4_T_cell","Effector_memory_CD8_T_cell","Regulatory_T_cell","T_follicular_helper_cell","Type_1_T_helper_cell","Type_2_T_helper_cell","Type_17_T_helper_cell","Activated_dendritic_cell","Immature_dendritic_cell","Plasmacytoid_dendritic_cell","Macrophage","M1_Macrophage","M2_Macrophage","Monocyte","Natural_killer_cell","Neutrophil","Mast_cell","Eosinophil","MDSC","Natural_killer_T_cell"
"GSM363206",3.81035,3.903,4.64225,4.86975,4.89675,5.3435,5.229125,3.6255,4.23925,3.62733333333333,3.38320833333333,4.2695,4.34625,4.403,4.7285,6.21397222222222,3.7823,7.59416666666667,8.2545,4.45389583333333,4.42325,4.03766666666667,3.95633333333333,5.86525,5.02575
"GSM363207",3.57795,3.7558,3.957,4.4715,4.32,4.60833333333333,4.3305,3.45833333333333,4.578375,3.43633333333333,3.20520833333333,3.88966666666667,4.22591666666667,4.15066666666667,4.799,5.72163888888889,3.8847,6.85766666666667,7.91,3.74516666666667,4.137625,3.79113333333333,3.45011111111111,5.922875,4.33433333333333
"GSM363208",3.78025,3.8638,5.10975,5.520875,5.8715,6.14866666666667,6.252375,3.46033333333333,4.336875,3.57133333333333,3.350375,3.8015,4.3635,4.85933333333333,5.06766666666667,6.54961111111111,4.0991,7.70083333333333,8.6375,4.62275,4.451,4.65783333333333,3.77677777777778,5.9115,5.528
"GSM363209",4.36355,3.9239,4.73075,6.01575,6.1825,5.894,5.709,3.64983333333333,4.315625,3.75966666666667,3.30629166666667,4.5495,4.70541666666667,4.103,5.08766666666667,4.53975,3.6172,6.25475,6.8365,4.45047916666667,3.904375,3.67645,3.73033333333333,5.658125,5.72541666666667
"GSM363210",4.1025,4.1725,4.401,5.199125,4.8705,5.747,5.240375,3.68283333333333,4.28825,3.72066666666667,3.40295833333333,4.41116666666667,4.30041666666667,4.72166666666667,4.5735,6.05463888888889,3.7599,7.47116666666667,8.283,4.4900625,4.42875,3.92186666666667,4.12877777777778,6.017,5.09741666666667
"GSM363211",3.66775,3.7758,3.83525,4.015,3.96925,4.18216666666667,3.999625,3.62983333333333,4.146875,3.44533333333333,3.2545,3.94633333333333,3.86883333333333,3.83,4.70633333333333,4.15208333333333,3.5568,5.7775,5.372,3.7305,3.87725,3.97496666666667,3.71355555555556,5.42925,4.39233333333333
"GSM363212",4.09235,3.9706,4.63025,5.7035,5.80825,6.11816666666667,5.848625,3.52466666666667,4.2555,3.61866666666667,3.29379166666667,4.01583333333333,4.50833333333333,4.50766666666667,4.75566666666667,6.04113888888889,3.8536,7.25866666666667,7.8935,4.451125,4.303625,4.6968,3.73466666666667,5.711875,5.42783333333333
"GSM363213",3.7499,3.7496,3.85875,4.199375,4.195,3.97816666666667,3.902,3.60816666666667,3.883875,3.48066666666667,3.322625,4.36733333333333,3.68725,3.88966666666667,4.17683333333333,6.43725,3.5114,6.46175,7.1925,3.7410625,3.8985,4.94618333333333,4.39144444444444,4.39075,4.03641666666667
"GSM363214",3.8804,3.9501,4.00425,4.76825,4.487,4.9175,4.479625,3.59683333333333,4.258875,3.57966666666667,3.44108333333333,4.31,4.03766666666667,3.93766666666667,4.601,5.79897222222222,3.6961,7.39091666666667,7.5005,4.05695833333333,4.1445,3.85716666666667,3.95722222222222,6.015875,4.47216666666667
"GSM363215",3.83845,3.7954,4.26325,4.56975,4.634,4.7605,4.722625,3.48533333333333,4.416,3.47733333333333,3.306,4.04716666666667,3.999,4.014,4.60183333333333,4.92086111111111,3.4548,6.53083333333333,6.66,3.9024375,4.1045,3.76928333333333,3.51488888888889,5.75025,4.51091666666667
"GSM363216",4.04955,4.1228,4.417,5.226375,5.2275,5.986,5.828875,3.64516666666667,4.30475,3.63666666666667,3.40833333333333,4.03783333333333,4.25016666666667,4.08666666666667,4.73033333333333,6.02377777777778,3.5033,7.32858333333333,8.2635,4.30704166666667,4.1995,4.56746666666667,3.95522222222222,5.871,4.9315
"GSM363217",3.63015,3.5561,3.84525,4.00375,4.06,3.9485,3.928625,3.49,3.69475,3.517,3.23075,3.53983333333333,3.74375,3.72,3.99683333333333,6.42522222222222,3.5291,6.52516666666667,5.1695,3.87195833333333,3.87575,3.93715,3.59366666666667,4.406125,4.29483333333333
"GSM363218",3.70535,3.6791,4.9,4.37425,4.71075,5.06783333333333,5.471125,3.50533333333333,3.894125,3.61266666666667,3.27904166666667,3.86033333333333,4.12308333333333,3.77666666666667,5.1145,5.24683333333333,3.5384,5.48675,6.577,4.10795833333333,3.989125,3.86868333333333,3.51177777777778,4.533625,4.50083333333333
"GSM363219",4.2145,4.0924,4.61825,5.731125,5.83825,6.043,5.775625,3.8155,4.395375,3.767,3.53670833333333,4.33716666666667,4.37008333333333,5.05566666666667,4.5405,5.34394444444444,3.7196,6.91008333333333,7.846,4.1910625,4.144625,4.0444,4.05,6.090875,4.99775
"GSM363220",3.9018,3.96,4.4645,4.941,5.1005,5.69916666666667,5.741625,3.717,4.263875,3.50633333333333,3.30854166666667,3.90166666666667,4.26533333333333,3.89833333333333,4.5345,5.11541666666667,3.6555,6.716,7.4965,4.31325,4.077,3.7605,3.68644444444444,5.828375,5.04533333333333
"GSM363221",4.39215,4.2479,4.85,5.679,5.74125,5.81766666666667,5.6105,3.97733333333333,4.547125,3.69033333333333,3.524625,4.23983333333333,4.44441666666667,4.44833333333333,4.88883333333333,6.32236111111111,3.7352,7.65533333333333,8.323,4.3556875,4.3895,3.90451666666667,4.26688888888889,6.099875,4.97691666666667
"GSM363222",4.11475,3.8764,4.341,4.6675,4.67525,4.79533333333333,4.683,3.80533333333333,4.22725,3.561,3.37516666666667,4.25033333333333,4.34225,4.236,4.475,4.43569444444444,3.717,5.65883333333333,5.1025,3.95466666666667,4.1935,3.9527,3.84011111111111,5.2155,4.803
"GSM363223",4.08095,4.0716,4.622,4.87025,4.8655,5.00433333333333,4.8845,3.765,4.26775,3.90033333333333,3.45033333333333,4.5785,4.03941666666667,4.21033333333333,4.51716666666667,5.60372222222222,3.6929,7.17891666666667,7.8705,4.04770833333333,4.1505,3.93966666666667,4.27755555555556,6.0255,4.42216666666667
"GSM363224",3.7767,3.6678,3.98025,4.511125,4.43625,4.13533333333333,4.043875,3.577,3.816625,3.432,3.232625,3.79166666666667,3.789,3.87666666666667,4.55283333333333,5.271,3.4614,6.91775,6.9215,3.78977083333333,4.009375,3.95371666666667,3.62433333333333,5.6615,4.11191666666667
"GSM363225",3.88145,3.9605,4.2325,4.72825,4.6035,5.16033333333333,4.8225,3.571,4.23025,3.63866666666667,3.35108333333333,4.33483333333333,3.93658333333333,3.98533333333333,4.38733333333333,5.09055555555556,3.6886,6.86841666666667,7.411,4.0304375,4.223,3.9161,3.90977777777778,5.892125,4.52891666666667
"GSM363226",3.7647,3.8478,4.03375,4.363125,4.27775,4.594,4.428125,3.658,4.25425,3.53666666666667,3.38366666666667,4.2105,4.0745,4.05466666666667,4.363,5.38744444444444,3.6697,6.82733333333333,7.5475,3.97164583333333,4.278125,3.69593333333333,3.93777777777778,5.891125,4.29875
"GSM363227",3.95695,4.0222,4.6655,5.167125,5.255,5.745,5.572375,3.58216666666667,4.418375,3.74433333333333,3.44016666666667,4.16333333333333,4.14,4.309,4.4515,6.37911111111111,3.8002,7.77033333333333,8.323,4.3870625,4.55475,4.01188333333333,3.91266666666667,6.120625,5.03875
"GSM363228",3.5448,3.5783,3.94425,4.35775,4.449,4.19283333333333,4.258125,3.4025,4.110875,3.38266666666667,3.21225,4.04283333333333,3.87841666666667,3.956,4.86633333333333,4.46522222222222,3.4791,5.97891666666667,6.225,3.76560416666667,3.85175,3.5826,3.60444444444444,5.420875,4.58658333333333
"GSM363229",3.96335,3.9932,4.30775,4.9055,4.75225,5.21616666666667,4.859875,3.63866666666667,4.309125,3.579,3.39233333333333,4.433,4.026,4.173,4.28616666666667,5.84788888888889,3.6945,7.45541666666667,7.9375,4.07116666666667,4.149,3.81433333333333,4.10666666666667,5.89275,4.55666666666667
"GSM363230",3.7635,3.6204,3.77625,4.10925,4.1665,3.86866666666667,3.84175,3.55366666666667,4.135625,3.51933333333333,3.48808333333333,4.01133333333333,3.76666666666667,3.66366666666667,4.17216666666667,3.63347222222222,3.4375,5.71491666666667,6.3605,3.67458333333333,3.90675,3.74448333333333,3.75655555555556,5.765625,4.18733333333333
"GSM363231",4.092,4.0739,4.53425,5.24425,5.34825,5.66883333333333,5.550375,3.77033333333333,4.306125,3.70766666666667,3.393375,4.1065,4.19641666666667,4.01033333333333,4.8445,5.73780555555556,3.5859,7.15666666666667,8.422,4.24727083333333,4.314375,3.85895,4.02722222222222,5.841625,4.88558333333333
"GSM363232",3.8377,3.9412,5.80025,4.717375,5.509,6.28533333333333,7.321625,3.60533333333333,4.172875,3.89366666666667,3.205125,4.213,4.22216666666667,3.96433333333333,4.20883333333333,5.58177777777778,3.5148,7.12308333333333,6.606,4.78010416666667,4.3055,4.73238333333333,3.63477777777778,6.021875,5.19025
"GSM363233",4.3018,4.0963,4.84875,5.83175,5.87825,6.41033333333333,6.222,3.587,4.462375,3.78066666666667,3.44620833333333,4.28283333333333,4.48483333333333,4.38166666666667,4.66683333333333,6.56594444444444,3.7831,7.85558333333333,8.5305,4.67414583333333,4.412875,4.20443333333333,3.95633333333333,6.089125,5.31075
"GSM363234",3.7918,3.9648,4.74625,5.27825,5.593,6.40283333333333,6.225875,3.504,4.39225,3.56933333333333,3.25979166666667,4.15766666666667,4.34016666666667,4.26666666666667,4.4505,5.52063888888889,3.7261,7.15291666666667,8.075,4.04141666666667,4.200625,4.20461666666667,3.777,5.89375,4.852
"GSM363235",3.5839,3.9576,5.18675,5.157125,5.62725,5.729,6.072375,3.56633333333333,4.313625,3.64433333333333,3.28766666666667,3.83066666666667,4.568,4.25966666666667,4.568,5.99788888888889,3.6401,6.30916666666667,7.3225,4.02177083333333,4.403625,3.62806666666667,3.53166666666667,5.082,4.79358333333333
"GSM363236",3.95985,4.0829,5.8615,5.706125,6.177,6.3845,6.70675,3.633,4.530125,3.73933333333333,3.3405,4.006,4.50941666666667,4.53133333333333,4.78183333333333,6.53022222222222,4.0103,7.71391666666667,8.5415,4.52829166666667,4.55725,3.79136666666667,3.85211111111111,5.8065,5.43683333333333
"GSM363237",3.84525,4.0669,5.6955,5.311125,5.684,5.6285,5.99475,3.69583333333333,4.437875,3.74533333333333,3.3625,3.8635,4.59125,4.177,4.861,6.10558333333333,3.9685,6.78075,7.4655,4.28472916666667,5.678,3.55761666666667,3.66566666666667,5.553375,4.75208333333333
"GSM363238",4.0188,4.0834,5.44325,5.373375,5.662,6.36083333333333,6.482,3.533,4.452375,3.568,3.4455,4.19616666666667,4.39741666666667,4.39066666666667,4.55966666666667,6.70891666666667,3.7455,7.86075,8.7265,4.9750625,4.925,4.16738333333333,3.842,6.097625,5.55208333333333
